vial ,t_coma,round,assay_temp,group,log t_coma
79,295.17,1,35,bip,2.470072215
80,207.48,1,35,bip,2.316976239
81,243,1,35,bip,2.385606274
82,161.28,1,35,rub,2.207580515
83,162.17,1,35,rub,2.209970517
84,161.28,1,35,rub,2.207580515
85,151.02,1,35,rub,2.179034466
86,182,1,35,rub,2.260071388
87,182,1,35,rub,2.260071388
88,190.11,1,35,rub,2.279004962
89,163.21,1,35,rub,2.212746765
90,150.15,1,35,rub,2.176525337
91,190.11,1,35,rub,2.279004962
92,318.44,1,35,sim,2.503027615
93,195.54,1,35,sim,2.291235611
94,255.29,1,35,sim,2.407033803
95,214.31,1,35,sim,2.331042436
96,314.31,1,35,sim,2.497358199
97,260.44,1,35,sim,2.415707687
100,227.18,1,35,sim,2.356370095
101,208.03,1,35,sim,2.318125969
102,194.39,1,35,ps,2.28867392
103,227.18,1,35,ps,2.356370095
104,243,1,35,ps,2.385606274
105,152.47,1,35,ps,2.1831844
107,315.01,1,35,ps,2.498324341
108,313.14,1,35,ps,2.495738547
109,190.11,1,35,ps,2.279004962
110,287.4,1,35,ps,2.458486764
111,271.59,1,35,ps,2.433913775
112,140.59,1,35,sulf,2.147954431
113,110.36,1,35,sulf,2.042811692
114,152.33,1,35,sulf,2.182785442
115,140.44,1,35,sulf,2.147490821
116,139.48,1,35,sulf,2.144511939
118,130.39,1,35,sulf,2.115244285
119,190.11,1,35,kik,2.279004962
120,255.29,1,35,kik,2.407033803
121,194.26,1,35,kik,2.288383384
122,163.05,1,35,kik,2.212320803
123,182,1,35,kik,2.260071388
124,206.33,1,35,kik,2.314562378
125,151.53,1,35,kik,2.180498623
126,182,1,35,kik,2.260071388
127,227.18,1,35,kik,2.356370095
128,140.36,1,35,bir,2.14724336
129,182,1,35,bir,2.260071388
130,160.15,1,35,bir,2.204526943
131,190.11,1,35,bir,2.279004962
132,160.22,1,35,bir,2.204716727
133,182,1,35,bir,2.260071388
134,182,1,35,bir,2.260071388
135,163.34,1,35,bir,2.213092551
136,97.49,1,35,bir,1.98896007
137,161.29,1,35,bir,2.207607442
5,319,1,35,bip,2.503790683
8,319,1,35,bip,2.503790683
21,319,1,35,sim,2.503790683
22,319,1,35,sim,2.503790683
24,319,1,35,sim,2.503790683
25,319,1,35,sim,2.503790683
26,319,1,35,sim,2.503790683
28,319,1,35,sim,2.503790683
38,319,1,35,ps,2.503790683
67,319,1,35,hydei,2.503790683
68,319,1,35,hydei,2.503790683
70,319,1,35,hydei,2.503790683
71,319,1,35,hydei,2.503790683
73,319,1,35,bip,2.503790683
98,319,1,35,sim,2.503790683
99,319,1,35,sim,2.503790683
138,319,1,35,hydei,2.503790683
139,319,1,35,hydei,2.503790683
140,319,1,35,hydei,2.503790683
141,319,1,35,hydei,2.503790683
142,319,1,35,hydei,2.503790683
143,319,1,35,hydei,2.503790683
1,112.06,1,36,bip,2.049450618
2,48.38,1,36,bip,1.684665864
3,113.06,1,36,bip,2.053308981
4,152.46,1,36,bip,2.183155915
5,133.12,1,36,bip,2.124243309
6,112.24,1,36,bip,2.050147658
7,49.11,1,36,bip,1.691169934
8,96.31,1,36,bip,1.983671383
9,167.26,1,36,bip,2.223392092
10,178.32,1,36,bip,2.251200055
11,30.07,1,36,rub,1.478133428
12,29.56,1,36,rub,1.47070443
13,30.09,1,36,rub,1.478422188
14,47.41,1,36,rub,1.675869955
15,51.52,1,36,rub,1.711975854
16,36.55,1,36,rub,1.562887381
17,29.37,1,36,rub,1.467903947
18,31.59,1,36,rub,1.499549626
19,51.29,1,36,rub,1.710032699
20,50.54,1,36,rub,1.703635238
21,132.47,1,36,sim,2.122117536
22,133.57,1,36,sim,2.125708926
23,167.44,1,36,sim,2.223859215
24,144.45,1,36,sim,2.159717546
25,161.04,1,36,sim,2.206933762
26,184.22,1,36,sim,2.265336778
27,153.12,1,36,sim,2.18503192
28,167.59,1,36,sim,2.224248101
29,153.12,1,36,sim,2.18503192
30,153.12,1,36,sim,2.18503192
31,52.05,1,36,ps,1.716420734
32,51.08,1,36,ps,1.708250889
33,69.27,1,36,ps,1.840545188
34,52.35,1,36,ps,1.718916686
35,62.28,1,36,ps,1.794348604
36,74.48,1,36,ps,1.872039668
37,49.38,1,36,ps,1.693551086
38,30.36,1,36,ps,1.482301767
39,68.58,1,36,ps,1.836197481
40,68.19,1,36,ps,1.83372069
41,51.42,1,36,sulf,1.711132072
42,56.39,1,36,sulf,1.751202095
43,53.08,1,36,sulf,1.724930914
44,62.28,1,36,sulf,1.794348604
45,48.38,1,36,sulf,1.684665864
48,27.06,1,36,kik,1.432327792
49,24.44,1,36,kik,1.388101202
50,69.51,1,36,kik,1.842047289
51,50.2,1,36,kik,1.700703717
52,17.49,1,36,kik,1.242789809
53,91.49,1,36,kik,1.961373628
54,47.35,1,36,kik,1.675319983
55,123.05,1,36,kik,2.090081618
56,103.44,1,36,kik,2.014688512
57,36.18,1,36,bir,1.558468563
58,27.3,1,36,bir,1.436162647
59,28.47,1,36,bir,1.454387467
60,22.47,1,36,bir,1.351603072
61,18.01,1,36,bir,1.255513713
62,63.06,1,36,bir,1.799753966
63,49.01,1,36,bir,1.690284703
64,63.34,1,36,bir,1.801678059
65,254.38,1,36,hydei,2.405482963
66,245.11,1,36,hydei,2.38936103
67,254.38,1,36,hydei,2.405482963
68,234.1,1,36,hydei,2.369401414
69,233.4,1,36,hydei,2.368100852
139,18.52,1,36,bir,1.267640982
140,28.09,1,36,bir,1.448551739
96,140.01,2,36,sim,2.146159056
70,157.3,2,36,bip,2.196728723
71,47.1,2,36,bip,1.673020907
72,161,2,36,bip,2.206825876
73,133,2,36,bip,2.123851641
74,161,2,36,bip,2.206825876
75,69.09,2,36,bip,1.839415193
76,70.52,2,36,bip,1.848312304
77,161,2,36,bip,2.206825876
78,161,2,36,bip,2.206825876
79,31.09,2,36,bip,1.492620722
80,101.25,2,36,rub,2.005395032
81,61.58,2,36,rub,1.789439685
82,79.53,2,36,rub,1.900530982
83,80.2,2,36,rub,1.904174368
84,49.01,2,36,rub,1.690284703
85,82.17,2,36,rub,1.914713287
86,55.19,2,36,rub,1.741860394
90,161,2,36,sim,2.206825876
91,161,2,36,sim,2.206825876
92,140.01,2,36,sim,2.146159056
93,157.3,2,36,sim,2.196728723
94,133,2,36,sim,2.123851641
95,101.04,2,36,sim,2.004493338
97,118.13,2,36,sim,2.072360204
98,157.3,2,36,sim,2.196728723
99,110.47,2,36,sim,2.043244354
100,80.03,2,36,ps,1.903252817
101,81.11,2,36,ps,1.909074401
102,49.09,2,36,ps,1.690993032
103,53.07,2,36,ps,1.724849088
104,140.01,2,36,ps,2.146159056
105,133,2,36,ps,2.123851641
106,69.41,2,36,ps,1.841422044
107,81.55,2,36,ps,1.911423965
108,70.23,2,36,ps,1.846522668
109,110.47,2,36,ps,2.043244354
110,49.36,2,36,sulf,1.693375151
111,48.11,2,36,sulf,1.682235357
112,56.43,2,36,sulf,1.75151005
113,69.3,2,36,sulf,1.840733235
114,69.09,2,36,sulf,1.839415193
115,56.23,2,36,sulf,1.749968084
116,56,2,36,sulf,1.748188027
117,70.18,2,36,kik,1.846213364
118,80.41,2,36,kik,1.905310062
119,46.53,2,36,kik,1.667733053
120,31.36,2,36,kik,1.496376054
121,90.16,2,36,kik,1.955013903
126,27.5,2,36,bir,1.439332694
127,49.2,2,36,bir,1.691965103
128,31.09,2,36,bir,1.492620722
129,69.59,2,36,bir,1.842546836
130,47.29,2,36,bir,1.674769314
131,35,2,36,bir,1.544068044
132,48.45,2,36,bir,1.685293781
133,62.26,2,36,bir,1.794209116
134,203.55,2,36,hydei,2.308671107
135,203.55,2,36,hydei,2.308671107
1,18.24,1,37.5,bip,1.261024834
2,18.24,1,37.5,bip,1.261024834
3,56.06,1,37.5,bip,1.748653093
4,18.24,1,37.5,bip,1.261024834
5,23.51,1,37.5,bip,1.371252629
6,14.06,1,37.5,bip,1.147985321
7,42.29,1,37.5,bip,1.626237685
8,41.14,1,37.5,bip,1.614264287
9,27.22,1,37.5,bip,1.434888121
10,35.44,1,37.5,bip,1.549493713
11,4.24,1,37.5,rub,0.627365857
12,18.24,1,37.5,rub,1.261024834
13,23,1,37.5,rub,1.361727836
14,12.01,1,37.5,rub,1.079543007
15,18.24,1,37.5,rub,1.261024834
16,18.24,1,37.5,rub,1.261024834
17,20.52,1,37.5,rub,1.312177356
18,11.5,1,37.5,rub,1.06069784
19,23.51,1,37.5,rub,1.371252629
20,5,1,37.5,rub,0.698970004
21,29.29,1,37.5,sim,1.466719372
22,51,1,37.5,sim,1.707570176
23,43.19,1,37.5,sim,1.635383204
24,18.24,1,37.5,sim,1.261024834
25,35.44,1,37.5,sim,1.549493713
26,43.45,1,37.5,sim,1.637989781
27,56.24,1,37.5,sim,1.750045312
28,29.4,1,37.5,sim,1.46834733
29,43.07,1,37.5,sim,1.634174872
30,31.27,1,37.5,sim,1.495127881
31,34.25,1,37.5,ps,1.534660576
32,31.16,1,37.5,ps,1.493597449
33,23.09,1,37.5,ps,1.363423933
34,14.34,1,37.5,ps,1.156549151
35,23.51,1,37.5,ps,1.371252629
36,13.07,1,37.5,ps,1.116275588
37,20.52,1,37.5,ps,1.312177356
38,51,1,37.5,ps,1.707570176
39,23.51,1,37.5,ps,1.371252629
40,20.52,1,37.5,ps,1.312177356
41,5.21,1,37.5,sulf,0.716837723
42,15.15,1,37.5,sulf,1.180412633
43,4.51,1,37.5,sulf,0.654176542
44,4.24,1,37.5,sulf,0.627365857
45,5.56,1,37.5,sulf,0.745074792
46,9.21,1,37.5,sulf,0.96425963
47,23.09,1,37.5,sulf,1.363423933
48,18.24,1,37.5,kik,1.261024834
49,20.52,1,37.5,kik,1.312177356
50,18.24,1,37.5,kik,1.261024834
51,20.52,1,37.5,kik,1.312177356
52,25.4,1,37.5,kik,1.404833717
53,31.45,1,37.5,kik,1.49762065
54,42.07,1,37.5,kik,1.623972512
55,18.24,1,37.5,kik,1.261024834
56,25.4,1,37.5,kik,1.404833717
57,15.28,1,37.5,bir,1.184123354
58,20.52,1,37.5,bir,1.312177356
59,18.24,1,37.5,bir,1.261024834
60,20.52,1,37.5,bir,1.312177356
61,12.57,1,37.5,bir,1.099335278
62,20.52,1,37.5,bir,1.312177356
63,13.49,1,37.5,bir,1.13001195
64,20.52,1,37.5,bir,1.312177356
65,30.22,1,37.5,bir,1.48029446
66,18.24,1,37.5,bir,1.261024834
67,92.5,1,37.5,hydei,1.966141733
68,92.5,1,37.5,hydei,1.966141733
69,75.27,1,37.5,hydei,1.876621916
70,27.4,1,37.5,hydei,1.437750563
71,92.5,1,37.5,hydei,1.966141733
72,18.24,1,37.5,bip,1.261024834
73,25.4,1,37.5,bip,1.404833717
74,41.35,1,37.5,bip,1.616475514
75,23.51,1,37.5,bip,1.371252629
76,18.24,1,37.5,bip,1.261024834
77,28.05,1,37.5,bip,1.447932866
78,18.24,1,37.5,bip,1.261024834
79,31.03,1,37.5,bip,1.491781776
80,20.52,1,37.5,bip,1.312177356
81,23.51,1,37.5,bip,1.371252629
82,5,1,37.5,rub,0.698970004
83,12.17,1,37.5,rub,1.085290578
84,23.51,1,37.5,rub,1.371252629
85,10.24,1,37.5,rub,1.010299957
86,14.43,1,37.5,rub,1.159266331
87,5,1,37.5,rub,0.698970004
88,13.2,1,37.5,rub,1.120573931
89,14.56,1,37.5,rub,1.163161375
92,38.42,1,37.5,sim,1.584557361
93,18.24,1,37.5,sim,1.261024834
94,56.37,1,37.5,sim,1.751048035
95,39.33,1,37.5,sim,1.594723946
96,75.27,1,37.5,sim,1.876621916
97,28.21,1,37.5,sim,1.450403086
98,39.57,1,37.5,sim,1.59736605
99,20.52,1,37.5,sim,1.312177356
100,35,1,37.5,sim,1.544068044
101,30.38,1,37.5,sim,1.48258777
102,25.4,1,37.5,ps,1.404833717
103,20.52,1,37.5,ps,1.312177356
105,20.52,1,37.5,ps,1.312177356
106,25.4,1,37.5,ps,1.404833717
107,20.52,1,37.5,ps,1.312177356
108,20.52,1,37.5,ps,1.312177356
109,18.24,1,37.5,ps,1.261024834
110,18.24,1,37.5,ps,1.261024834
111,42.57,1,37.5,ps,1.62910365
112,5.21,1,37.5,sulf,0.716837723
113,10.45,1,37.5,sulf,1.01911629
114,13.35,1,37.5,sulf,1.125481266
115,6.56,1,37.5,sulf,0.816903839
116,20.52,1,37.5,sulf,1.312177356
117,15.05,1,37.5,sulf,1.1775365
119,23.51,1,37.5,kik,1.371252629
120,20.52,1,37.5,kik,1.312177356
121,23.51,1,37.5,kik,1.371252629
122,23.51,1,37.5,kik,1.371252629
123,25.4,1,37.5,kik,1.404833717
124,29.03,1,37.5,kik,1.462847036
125,18.24,1,37.5,kik,1.261024834
126,20.52,1,37.5,kik,1.312177356
127,18.24,1,37.5,kik,1.261024834
128,25.4,1,37.5,bir,1.404833717
129,27.22,1,37.5,bir,1.434888121
130,18.24,1,37.5,bir,1.261024834
131,23.51,1,37.5,bir,1.371252629
132,18.24,1,37.5,bir,1.261024834
133,23.51,1,37.5,bir,1.371252629
134,27.22,1,37.5,bir,1.434888121
135,25.4,1,37.5,bir,1.404833717
136,18.24,1,37.5,bir,1.261024834
137,23.09,1,37.5,bir,1.363423933
138,25.4,1,37.5,hydei,1.404833717
139,92.5,1,37.5,hydei,1.966141733
140,66.06,1,37.5,hydei,1.819938569
143,92.5,1,37.5,hydei,1.966141733
144,92.5,1,37.5,hydei,1.966141733
145,57.19,1,37.5,hydei,1.757320097
1,6.59,1,39,sim,0.818885415
2,5.53,1,39,sim,0.742725131
3,6.43,1,39,sim,0.808210973
4,5.59,1,39,sim,0.747411808
5,6.54,1,39,sim,0.815577748
6,1.21,1,39,rub,0.08278537
7,1.12,1,39,rub,0.049218023
8,1.18,1,39,rub,0.071882007
9,1.16,1,39,rub,0.064457989
10,1.08,1,39,rub,0.033423755
11,1.3,1,39,sulf,0.113943352
12,1.27,1,39,sulf,0.103803721
13,1.02,1,39,sulf,0.008600172
14,0.59,1,39,sulf,-0.229147988
15,1.01,1,39,sulf,0.004321374
16,6.1,1,39,bip,0.785329835
17,4.21,1,39,bip,0.624282096
18,6.33,1,39,bip,0.80140371
19,5.35,1,39,bip,0.728353782
20,4.35,1,39,bip,0.638489257
21,6.25,1,39,ps,0.795880017
22,3.11,1,39,ps,0.492760389
23,6.14,1,39,ps,0.788168371
24,5.06,1,39,ps,0.704150517
25,6.19,1,39,ps,0.791690649
26,6.07,1,39,sim,0.783188691
27,6.4,1,39,sim,0.806179974
28,7.25,1,39,sim,0.860338007
29,7.14,1,39,sim,0.853698212
30,7.18,1,39,sim,0.856124444
31,1.44,1,39,rub,0.158362492
32,1.25,1,39,rub,0.096910013
33,1.38,1,39,rub,0.139879086
34,1.47,1,39,rub,0.167317335
35,1.38,1,39,rub,0.139879086
36,1.19,1,39,sulf,0.075546961
37,0.56,1,39,sulf,-0.251811973
38,1.19,1,39,sulf,0.075546961
41,4.02,1,39,bip,0.604226053
42,5.42,1,39,bip,0.733999287
43,6.22,1,39,bip,0.793790385
44,7.29,1,39,bip,0.862727528
45,5.27,1,39,bip,0.721810615
46,4.56,1,39,ps,0.658964843
47,6.28,1,39,ps,0.797959644
48,6.03,1,39,ps,0.780317312
49,5.56,1,39,ps,0.745074792
50,5,1,39,ps,0.698970004
51,6.29,2,39,sim,0.798650645
52,7.38,2,39,sim,0.868056362
53,5.53,2,39,sim,0.742725131
54,6.48,2,39,sim,0.811575006
55,6.34,2,39,sim,0.802089258
56,1.16,2,39,rub,0.064457989
57,1.05,2,39,rub,0.021189299
58,1.39,2,39,rub,0.1430148
59,0.54,2,39,rub,-0.26760624
60,1.27,2,39,rub,0.103803721
61,1.21,2,39,sulf,0.08278537
62,1.59,2,39,sulf,0.201397124
63,1.54,2,39,sulf,0.187520721
64,1.44,2,39,sulf,0.158362492
66,6.32,2,39,bip,0.800717078
67,4.41,2,39,bip,0.644438589
68,5.18,2,39,bip,0.71432976
69,5.08,2,39,bip,0.705863712
70,7.02,2,39,bip,0.846337112
71,6,2,39,ps,0.77815125
72,5.26,2,39,ps,0.720985744
73,4.15,2,39,ps,0.618048097
74,7.23,2,39,ps,0.859138297
75,5.46,2,39,ps,0.737192643
76,5.43,2,39,sim,0.73479983
77,6.41,2,39,sim,0.80685803
78,7.51,2,39,sim,0.875639937
79,5.13,2,39,sim,0.710117365
81,1.12,2,39,rub,0.049218023
82,1,2,39,rub,0
83,2.1,2,39,rub,0.322219295
84,1.1,2,39,rub,0.041392685
85,1.47,2,39,rub,0.167317335
91,6.04,2,39,bip,0.781036939
92,5.36,2,39,bip,0.72916479
93,5.4,2,39,bip,0.73239376
94,4.52,2,39,bip,0.655138435
95,5.3,2,39,bip,0.72427587
96,6.4,2,39,ps,0.806179974
97,7.06,2,39,ps,0.848804701
98,4.3,2,39,ps,0.633468456
99,6.18,2,39,ps,0.790988475
100,4.02,2,39,ps,0.604226053
1,5.33,3,39,bir,0.726727209
2,4.19,3,39,bir,0.622214023
3,6.39,3,39,bir,0.805500858
4,7.42,3,39,bir,0.870403905
5,8.59,3,39,bir,0.933993164
7,4.32,3,39,bir,0.635483747
8,9.1,3,39,bir,0.959041392
9,7.46,3,39,bir,0.872738827
10,7.25,3,39,bir,0.860338007
11,11.15,3,39,kik,1.047274867
12,8.41,3,39,kik,0.924795996
13,8.15,3,39,kik,0.911157609
14,11.32,3,39,kik,1.053846427
15,9.34,3,39,kik,0.970346876
16,7.54,3,39,kik,0.877371346
17,6.35,3,39,kik,0.802773725
18,8.23,3,39,kik,0.915399835
19,11.01,3,39,kik,1.041787319
20,11.39,3,39,kik,1.056523724
21,12.13,3,39,hydei,1.083860801
22,18.45,3,39,hydei,1.26599637
23,17.53,3,39,hydei,1.243781916
24,17.49,3,39,hydei,1.242789809
25,12.03,3,39,hydei,1.080265627
27,18.39,3,39,hydei,1.264581729
28,12.18,3,39,hydei,1.085647288
29,12.33,3,39,hydei,1.090963077
30,17.45,3,39,hydei,1.241795431
31,6.25,3,39,bir,0.795880017
32,4.07,3,39,bir,0.609594409
33,5,3,39,bir,0.698970004
34,8.55,3,39,bir,0.931966115
35,3.26,3,39,bir,0.5132176
36,10.2,3,39,bir,1.008600172
37,4.45,3,39,bir,0.648360011
38,6.29,3,39,bir,0.798650645
39,5.2,3,39,bir,0.716003344
40,11.07,3,39,bir,1.044147621
41,12.37,3,39,kik,1.0923697
42,10.38,3,39,kik,1.016197354
43,8.28,3,39,kik,0.918030337
44,9.23,3,39,kik,0.965201701
45,9.44,3,39,kik,0.974971994
46,9.17,3,39,kik,0.962369336
47,9.28,3,39,kik,0.967547976
49,10.01,3,39,kik,1.000434077
51,14.27,3,39,hydei,1.154423973
53,15.02,3,39,hydei,1.176669933
1,2.45,1,40,sim,0.389166084
2,3,1,40,sim,0.477121255
3,3.2,1,40,sim,0.505149978
4,2.51,1,40,sim,0.399673721
5,3.3,1,40,sim,0.51851394
6,0.44,1,40,rub,-0.356547324
7,0.44,1,40,rub,-0.356547324
8,0.38,1,40,rub,-0.420216403
9,0.47,1,40,rub,-0.327902142
10,0.47,1,40,rub,-0.327902142
11,0.53,1,40,sulf,-0.27572413
12,0.42,1,40,sulf,-0.37675071
13,0.39,1,40,sulf,-0.408935393
14,0.3,1,40,sulf,-0.522878745
15,0.46,1,40,sulf,-0.337242168
16,2.57,1,40,bip,0.409933123
17,4.45,1,40,bip,0.648360011
18,2.15,1,40,bip,0.33243846
19,3.12,1,40,bip,0.494154594
20,3.05,1,40,bip,0.484299839
21,1.28,1,40,ps,0.10720997
22,3.35,1,40,ps,0.525044807
23,2.4,1,40,ps,0.380211242
24,1.5,1,40,ps,0.176091259
25,3.04,1,40,ps,0.482873584
26,3.27,2,40,sim,0.514547753
27,3.49,2,40,sim,0.542825427
28,3.23,2,40,sim,0.509202522
29,4.3,2,40,sim,0.633468456
30,4.34,2,40,sim,0.63748973
31,1.01,2,40,rub,0.004321374
32,0.47,2,40,rub,-0.327902142
33,1.1,2,40,rub,0.041392685
34,1.02,2,40,rub,0.008600172
35,0.55,2,40,rub,-0.259637311
36,0.4,2,40,sulf,-0.397940009
37,0.42,2,40,sulf,-0.37675071
38,0.52,2,40,sulf,-0.283996656
39,1.1,2,40,sulf,0.041392685
40,0.55,2,40,sulf,-0.259637311
41,2.22,2,40,bip,0.346352974
42,2.46,2,40,bip,0.390935107
43,3.07,2,40,bip,0.487138375
44,3.11,2,40,bip,0.492760389
45,3.17,2,40,bip,0.501059262
46,2.49,2,40,ps,0.396199347
47,1.58,2,40,ps,0.198657087
48,2.54,2,40,ps,0.404833717
49,3.01,2,40,ps,0.478566496
50,2.28,2,40,ps,0.357934847
51,3.46,3,40,sim,0.539076099
52,4.05,3,40,sim,0.607455023
53,4.46,3,40,sim,0.649334859
54,1.56,3,40,sim,0.193124598
55,4.29,3,40,sim,0.632457292
56,1.08,3,40,rub,0.033423755
57,1.1,3,40,rub,0.041392685
58,1.01,3,40,rub,0.004321374
59,0.59,3,40,rub,-0.229147988
60,1.07,3,40,rub,0.029383778
61,0.34,3,40,sulf,-0.468521083
62,0.57,3,40,sulf,-0.244125144
63,0.49,3,40,sulf,-0.30980392
66,3.34,3,40,bip,0.523746467
67,1.41,3,40,bip,0.149219113
68,2.58,3,40,bip,0.411619706
69,3.59,3,40,bip,0.555094449
70,3.49,3,40,bip,0.542825427
71,1.48,3,40,ps,0.170261715
72,4.15,3,40,ps,0.618048097
73,3.43,3,40,ps,0.53529412
74,2.54,3,40,ps,0.404833717
75,2.14,3,40,ps,0.330413773
76,3.48,4,40,sim,0.541579244
77,4.34,4,40,sim,0.63748973
78,3.45,4,40,sim,0.537819095
79,4.38,4,40,sim,0.641474111
80,3.29,4,40,sim,0.517195898
81,1.02,4,40,rub,0.008600172
82,0.58,4,40,rub,-0.236572006
83,0.49,4,40,rub,-0.30980392
84,0.42,4,40,rub,-0.37675071
85,0.55,4,40,rub,-0.259637311
91,2.38,4,40,bip,0.376576957
92,3.17,4,40,bip,0.501059262
93,3.13,4,40,bip,0.495544338
94,2.49,4,40,bip,0.396199347
95,1.51,4,40,bip,0.178976947
96,2.19,4,40,ps,0.340444115
97,2.03,4,40,ps,0.307496038
98,3.4,4,40,ps,0.531478917
99,2.41,4,40,ps,0.382017043
100,3.03,4,40,ps,0.481442629
1,2.52,5,40,bir,0.401400541
2,3.07,5,40,bir,0.487138375
3,3.33,5,40,bir,0.522444234
4,4.15,5,40,bir,0.618048097
5,2.27,5,40,bir,0.356025857
6,3.22,5,40,bir,0.507855872
7,3.38,5,40,bir,0.5289167
8,3.28,5,40,bir,0.515873844
9,3.49,5,40,bir,0.542825427
10,3.52,5,40,bir,0.546542663
11,5.06,5,40,kik,0.704150517
12,5.31,5,40,kik,0.725094521
13,6.16,5,40,kik,0.789580712
14,5.11,5,40,kik,0.7084209
15,4.39,5,40,kik,0.64246452
16,5.44,5,40,kik,0.7355989
17,5.21,5,40,kik,0.716837723
18,6.02,5,40,kik,0.779596491
19,6.29,5,40,kik,0.798650645
21,6.43,5,40,hydei,0.808210973
22,6.47,5,40,hydei,0.810904281
23,7.07,5,40,hydei,0.849419414
24,7.51,5,40,hydei,0.875639937
25,7.37,5,40,hydei,0.867467488
26,7.16,5,40,hydei,0.854913022
31,3.55,6,40,bir,0.550228353
32,3.22,6,40,bir,0.507855872
33,3.58,6,40,bir,0.553883027
34,3.29,6,40,bir,0.517195898
35,2.59,6,40,bir,0.413299764
36,4.2,6,40,bir,0.62324929
37,3.27,6,40,bir,0.514547753
38,3.02,6,40,bir,0.480006943
39,3.52,6,40,bir,0.546542663
40,4.32,6,40,bir,0.635483747
41,6.09,6,40,kik,0.784617293
42,5.59,6,40,kik,0.747411808
43,5.45,6,40,kik,0.736396502
44,4.06,6,40,kik,0.608526034
45,4.52,6,40,kik,0.655138435
47,6.35,6,40,kik,0.802773725
49,4.57,6,40,kik,0.6599162
51,7.22,6,40,hydei,0.858537198
52,6.5,6,40,hydei,0.812913357
53,5.47,6,40,hydei,0.737987326
54,6.54,6,40,hydei,0.815577748
55,7.29,6,40,hydei,0.862727528
